"DOMAIN","TITLE","",""
"INFO","How accurate are horoscopes in prediciting future events","",""
"IMAGE","A serene lake surrounded by snow-capped mountains and pine forests.","",""
"INFO","Can you tell me the causes and consequences of","",""
"INFO","What led to the Great Depression of the 1930s?","",""
"IMAGE","A woman attending a book club meeting and discussing literature.","",""
"IMAGE","A tranquil bamboo forest with sunlight filtering through the tall stalks.","",""
"IMAGE","Jaipur's Hawa Mahal features intricate lattice work and honeycomb windows.","",""
"IMAGE","Echoes of memories in forgotten corners.","",""
"INFO","What is the study of fossils called?","",""
"IMAGE","A serene alpine meadow dotted with grazing sheep and wildflowers.","",""
"INFO","Describe the process of","",""
"INFO","How to reduce stress and anxiety?","",""
"MATHS","Determine the discriminant ","",""
"IMAGE","Elegant Phulkari dupattas paired with plain suits for contrast.","",""
"IMAGE","A student excitedly opening their acceptance letter to college.","",""
"INFO","How do e-scooters work?","",""
"MATHS","Subtract 5.72 from 11.89.","",""
"IMAGE","Dance of contradictions in the rhythm of life.","",""
"INFO","Who is Arun Jaitley?","",""
"MATHS","Identify the pattern in the sequence: 1, 4, 9, 16, ...","",""
"INFO","What are the best strategies for teaching students with hearing impairments?","",""
"INFO","How to treat a fever naturally?","",""
"IMAGE","A bustling cityscape filled with towering skyscrapers and bustling streets.","",""
"INFO","Who is Nitin Gadkari?","",""
"MATHS","Explain how to determine if two triangles are similar using the AAA similarity criterion.","",""
"INFO","Who is the first Indian author to win the Nobel Prize in Literature?","",""
"IMAGE","A serene lake reflecting the surrounding mountains and trees.","",""
"INFO","What was the significance of the invention of the transistor?","",""
"MATHS","A bacteria culture grows at a rate proportional to its size. If the population doubles every hour, write a differential equation to model this situation.","",""
"INFO","What are the visa requirements for traveling to Japan?","",""
"MATHS","A cylindrical tank with a fixed volume of 1000 cubic meters is to be constructed. Determine the dimensions that will minimize the surface area.","",""
"INFO","What are the best investment options for beginners?","",""
"INFO","Describe the customs observed during Durga Puja.","",""
"INFO","What are the top-rated TV shows currently airing?","",""
"IMAGE","A tranquil forest glade with shafts of sunlight filtering through the trees.","",""
"IMAGE","A lush, green meadow dotted with grazing deer.","",""
"IMAGE","A couple taking a scenic drive through the countryside.","",""
"INFO","What are the benefits of using a VPN for online privacy?","",""
"INFO","What is Ohm's law","",""
"IMAGE","A charming cobblestone street lined with quaint cottages and blooming flower boxes.","",""
"INFO","How do I teach students about civic responsibility?","",""
"MATHS","Solve linear differential equations using the method of variation of parameters.","",""
"INFO","How many National Awards has Amitabh Bachchan won for acting?","",""
"IMAGE","A field of wildflowers stretches to the horizon.","",""
"IMAGE","A woman attending a salsa dancing class and learning new moves.","",""
"INFO","Write a SWOT analysis for ","",""
"IMAGE","Intricately embroidered velvet lehengas for winter weddings.","",""
"INFO","Who is Harsh Vardhan?","",""
"MATHS","Find the determinant of the 2x2 matrix: [[3, 4], [1, 2]].","",""
"INFO","Can you describe the process of making traditional Turkish baklava?","",""
"IMAGE","A terraforming project transforming a barren world.","",""
"INFO","What are the security risks of smart home devices?","",""
"INFO","How do I promote positive behavior in the classroom?","",""
"INFO","Who is Uddhav Thackeray?","",""
"INFO","What is the significance of Indian architecture and sculpture in world history?","",""
"MATHS","Is 98 divisible by 7?","",""
"IMAGE","A majestic castle perched atop a cliff overlooking the sea.","",""
"IMAGE","A group of friends having a game night with board games.","",""
"INFO","How to invest in foreign stock markets?","",""
"INFO","Who was the Greek god of the sea","",""
"IMAGE","A bustling marketplace is a melting pot of cultures, with vendors selling goods from around the world.","",""
"INFO","What are some famous books by R.K. Narayan?","",""
"INFO","How do I create a project report","",""
"INFO","How to save money on a tight budget?","",""
"INFO","How to jump-start a car?","",""
"MATHS","A rectangular plot of land is to be fenced on three sides, with a river forming the fourth side. If 120 meters of fencing material are available, find the dimensions that will maximize the enclosed area.","",""
"MATHS","cross product of vectors","",""
"MATHS","If A^(-1) = [[2, 1], [1, 3]], find the determinant of A.","",""
"MATHS","If the heights of adult men follow a normal distribution with a mean of 175 cm and a standard deviation of 8 cm, what is the probability that a randomly selected man is shorter than 160 cm?","",""
"INFO","What are some common ingredients used in Vietnamese pho?","",""
"INFO","How to prevent gallstones?","",""
"IMAGE","A magical castle perched atop a misty mountain.","",""
"INFO","How to prevent food poisoning?","",""
"IMAGE","Chic printed palazzo suits for casual outings.","",""
"INFO","How to choose the right credit card?","",""
"IMAGE","A quaint countryside scene with rolling hills and grazing sheep.","",""
"IMAGE","Bioengineered superfood solves world hunger crisis","",""
"IMAGE","A field of wheat sways in the gentle breeze.","",""
"IMAGE","A dense fog enveloping a dense forest, creating an ethereal atmosphere.","",""
"INFO","How does cloud storage work?","",""
"INFO","What is the chemical formula for hydrogen peroxide?","",""
"INFO","What are the challenges and opportunities of 5G technology?","",""
"IMAGE","A woman reading a book in a cozy armchair by the fireplace.","",""
"INFO","Best exercises for building muscles","",""
"INFO","How to invest in commodities?","",""
"INFO","What are the implications of the rise of telemedicine?","",""
"MATHS","What is the product of ","",""
"MATHS","convert liters  to milliliters","",""
"MATHS","Given the coordinates of a point after a translation, how can you find the translation vector?","",""
"IMAGE","A man attending a concert and enjoying live music.","",""
"IMAGE","Bold statement jewelry inspired by Indian heritage.","",""
"INFO","How are advances in biotechnology leading to new treatments and therapies for diseases?","",""
"INFO","What is the history of English language","",""
"IMAGE","A playful dolphin leaping out of the ocean waves.","",""
"IMAGE","A fearsome griffin guarding its treasure.","",""
"MATHS","Find the slope-intercept form of the equation of a line passing through the points","",""
"IMAGE","A charming seaside town with pastel-colored buildings.","",""
"INFO","What events led to the formation of NATO (North Atlantic Treaty Organization) during the Cold War?","",""
"INFO","How do 3D printers work?","",""
"INFO","How to refinish furniture?","",""
"IMAGE","Waves crash against rugged coastal cliffs.","",""
"INFO","What is the significance of recommendation letters in the college admission process","",""
"MATHS","A bag contains 8 red balls and 6 blue balls. If three balls are drawn with replacement until a red ball is drawn, what is the probability that exactly two blue balls are drawn?","",""
"IMAGE","Giant inflatable duck floats down river in annual parade","",""
"IMAGE","Quest for balance in the chaos of life.","",""
"MATHS","Find the area of the shaded region in the figure below if the radius of the larger circle is 8 units and the radius of the smaller circle is 5 units.","",""
"MATHS","If you flip a fair coin 10 times, what is the probability of getting more heads than tails?","",""
"INFO","What are the best budget-friendly action cameras?","",""
"INFO","What is the history of gaming technology","",""
"MATHS","If a rectangular garden has a length of 10 meters and a width of 5 meters, what is its area? Write an equation for the area of the garden.","",""
"MATHS","n! ","",""
"IMAGE","A charming village nestled in the shadow of towering mountains.","",""
"INFO","What are the festivities of Ugadi, and how is it celebrated?","",""
"IMAGE","A towering mountain peak pierces the clouds.","",""
"MATHS","Calculate the value of sin(θ) if tan(θ) = -5/12 and θ is in quadrant III.","",""
"MATHS","Calculate the area of a triangle with sides of length 5 cm, 12 cm, and 13 cm using Heron's formula.","",""
"IMAGE","Fragments of identity woven into the fabric of society.","",""
"MATHS","Calculate the nth term of the arithmetic sequence: 7, 11, 15, 19, ...","",""
"IMAGE","A graceful swan glides serenely across a tranquil lake, its elegant movements a vision of beauty.","",""
"IMAGE","A couple enjoying a romantic dinner by candlelight.","",""
"MATHS","Find the kernel of a given linear transformation.","",""
"MATHS","If |A| = 7 and |B| = 2, find |2A - 3B|.","",""
"MATHS","Calculate the circumference of a circle with a diameter of 10 units.","",""
"INFO","What are the implications of mass surveillance on privacy rights?","",""
"INFO","How to build an emergency fund?","",""
"INFO","How are companies addressing environmental sustainability?","",""
"IMAGE","Children playing hide and seek in the house.","",""
"MATHS","If a train travels at 60 mph, how far will it travel in 2.5 hours?","",""
"INFO","Can you describe the process of making traditional Indian chai tea?","",""
"INFO","How to negotiate lower interest rates on loans?","",""
"INFO","What are the most beautiful national parks to visit?","",""
"MATHS","Define scalar multiplication in a vector space.","",""
"MATHS","Is 9876543210 divisible by 2, 3, 4, 5, 6, and 9?","",""
"MATHS","eigenvalues","",""
"INFO","How can I build a strong personal brand to stand out to potential employers","",""
"INFO","Who wrote ""Midnight's Children""?","",""
"IMAGE","Traditional kundan jewelry sets with matching earrings and tikka.","",""
"MATHS","A predator-prey system is modeled by the Lotka-Volterra equations. Write down the differential equations for the populations of predators and prey.","",""
"INFO","Explain the concept of blockchain technology and its potential applications in supply chain management","",""
"INFO","What are the signs of anemia?","",""
"MATHS","Sketch the graph of a cubic function","",""
"INFO","How to bake chocolate chip cookies from scratch?","",""
"INFO","How to fix a loose doorknob?","",""
"INFO","How to repair a broken fence?","",""
"IMAGE","Reverberations of hope in the darkness of despair.","",""
"INFO","Who was Emperor Ashoka, and what was his impact on Indian history?","",""
"MATHS","If you randomly select a 3-digit number, what is the probability that it is divisible by 5?","",""
"IMAGE","A fierce minotaur charging into battle.","",""
"INFO","Who is Ravi Shankar Prasad?","",""
"MATHS","What is 5 + 3?","",""
"INFO","How does biometric access control work in buildings?","",""
"IMAGE","A slice of creamy key lime pie topped with whipped cream and lime zest.","",""
"INFO","What is the SI unit of electric current?","",""
"INFO","How do you make authentic Spanish paella?","",""
"MATHS","If a car travels at an average speed of 60 miles per hour, how long will it take to travel 150 miles?","",""
"INFO","Explain the customs followed during Ganesh Chaturthi, including idol immersion.","",""
"MATHS","nonlinear differential equation","",""
"INFO","What are some classic French pastries and desserts?","",""
"INFO","Latest fashion trend","",""
"MATHS","Simplify expressions involving ","",""
"MATHS","Express the given number as a product of prime factors.","",""
"IMAGE","A herd of wild horses gallops across an open plain.","",""
"IMAGE","The Vidhana Soudha in Bangalore is an imposing structure built in the Neo-Dravidian style, housing the state legislature of Karnataka.","",""
"MATHS","Determine the area of a circle with radius 6 meters.","",""
"INFO","What are the best travel destinations for train enthusiasts?","",""
"INFO","Can you explain the concept of gravitational waves","",""
"INFO","How to fix a leaky faucet?","",""
"IMAGE","Local baker creates life-size cake replica of famous landmark","",""
"INFO","What was the significance of the invention of the assembly line?","",""
"IMAGE","The Aga Khan Palace in Pune is a historical landmark known for its architectural beauty and association with the Indian independence movement.","",""
"MATHS","A farmer wants to enclose two separate rectangular areas with a total of 200 meters of fencing. What are the dimensions that maximize the enclosed area?","",""
"IMAGE","A magical underwater kingdom with coral reefs and exotic fish.","",""
"MATHS","If you flip a coin, what is the probability of getting heads?","",""
"INFO","What is the difference between a traditional IRA and a Roth IRA?","",""
"IMAGE","A rustic barn nestled in a field of golden wheat.","",""
"MATHS","triangular matrix","",""
"MATHS","Use mathematical induction to prove that every positive integer is either even or odd.","",""
"INFO","How many languages are spoken in the world","",""
"MATHS","Find the values of trigonometric functions at specific angles using the unit circle.","",""
"IMAGE","A regal tiger prowls through the jungle, its orange and black stripes making it almost invisible among the trees.","",""
"INFO","Write the script for the movie","",""
"INFO","Who is known as the ""Nightingale of India""?","",""
"INFO","How do I prepare for college interviews?","",""
"IMAGE","The Mysore Palace in Karnataka is a stunning example of Indo-Saracenic architecture, blending Hindu, Islamic, and Rajput styles.","",""
"MATHS","A lock has 4 dials, each labeled with the digits 0 through 9. How many different combinations are possible?","",""
"IMAGE","A serene lake reflecting the colorful autumn foliage.","",""
"INFO","Who wrote the novel","",""
"IMAGE","A bustling city park filled with people enjoying the sunshine.","",""
"INFO","How do I add shading and texture to my drawing","",""
"IMAGE","A gentle unicorn grazing in a sun-dappled meadow.","",""
"INFO","What are the implications of rising automation in the workforce?","",""
"INFO","How to propagate succulents?","",""
"MATHS","If two triangles are similar, what can you say about their corresponding angles?","",""
"MATHS","⊃","",""
"IMAGE","A playful naiad splashing in a waterfall.","",""
"INFO","What plants are best for low light indoors?","",""
"INFO","What are the best travel destinations for paragliding?","",""
"MATHS","Determine the value of tan(θ) if cos(θ) = -24/25 and sin(θ) is negative.","",""
"INFO","How did the invention of the printing press revolutionize communication?","",""
"INFO","How are social movements using technology to organize?","",""
"IMAGE","A family of polar bears frolicking in the snow.","",""
"MATHS","What is the name of a polygon with eight sides?","",""
"MATHS","Use mathematical induction to prove that ","",""
"MATHS","Calculate the range of the data set: 5, 10, 15, 20, 25, 30, 35, 40.","",""
"MATHS","Simplify:  7/8−2/3.","",""
"IMAGE","A regal tiger stalks through the jungle, its orange and black stripes camouflaging it among the trees.","",""
"INFO","What was the first invention ever made by humans?","",""
"INFO","Best diet for weight loss","",""
"INFO","Who is known as the inventor of the modern bicycle?","",""
"IMAGE","Beaux-Arts architecture draws from classical Greek and Roman design, featuring grandeur and ornate detailing.","",""
"IMAGE","A historic mansion is a glimpse into the city's past, its opulent interiors and lush gardens preserved for future generations.","",""
"INFO","Who is Sharad Pawar?","",""
"MATHS","What happens to the coordinates of a point when it undergoes a translation?","",""
"IMAGE","A city on the moon with domed habitats.","",""
"INFO","What are the top tourist attractions in San Francisco?","",""
"IMAGE","A bustling plaza is filled with outdoor cafes, where locals and tourists alike gather to enjoy the vibrant atmosphere.","",""
"MATHS","distance","",""
"INFO","What is the process by which sediment is laid down in new locations called?","",""
"MATHS","partial differential equation","",""
"IMAGE","A picturesque vineyard overlooking rolling hills and valleys.","",""
"IMAGE","Whispers of wisdom carried on the winds of change.","",""
"MATHS","Calculate the determinant of the matrix: [[-2, 3], [4, -5]].","",""
"INFO","How to care for a bonsai tree?","",""
"IMAGE","A rainbow stretches across a clear blue sky.","",""
"INFO","How did the Treaty of Guadalupe Hidalgo end the Mexican-American War?","",""
"MATHS","Rotate the point (2, 4) 180 degrees counterclockwise. What are the new coordinates?","",""
"IMAGE","Statement bindis and maang tikkas adding a traditional touch to modern outfits.","",""
"IMAGE","A fierce dragon breathing fire and smoke","",""
"MATHS","What is the volume of a sphere with radius 5 cm?","",""
"MATHS","∑","",""
"IMAGE","A regal sphinx guarding the entrance to an ancient temple.","",""
"IMAGE","A modern art installation mesmerizes passersby, its abstract forms sparking conversation and contemplation.","",""
"IMAGE","A peaceful meadow is blanketed with fresh snow.","",""
"MATHS","Determine if three points are collinear or not.","",""
"INFO","Describe the significance of Navratri and the customs observed during the festival","",""
"INFO","Who invented the first practical telephone?","",""
"INFO","What standardized tests do colleges require","",""
"INFO","What is the chemical formula for calcium carbonate?","",""
"INFO","How are governments addressing the rise of authoritarianism?","",""
"MATHS","Calculate the sum of the first 10 terms of the series: 2 + 4 + 8 + 16 + ...","",""
"IMAGE","The Sardar Sarovar Dam on the Narmada River showcases modern engineering combined with Indian architectural aesthetics.","",""
"IMAGE","A student attending a career fair to network with potential employers.","",""
"IMAGE","A fearsome griffin guarding its treasure.","",""
"MATHS","A manufacturer wants to minimize the cost of packaging cylindrical cans. What dimensions should the cans have to minimize cost?","",""
"MATHS","Expand and simplify the expression ","",""
"MATHS","Complex variable","",""
"IMAGE","A man attending a car show and admiring classic cars.","",""
"MATHS","Find the inverse of the matrix A = [[2, 1], [1, 3]].","",""
"INFO","How do I choose the right school for my child?","",""
"INFO","What led to the collapse of the Maya civilization in Mesoamerica?","",""
"MATHS","solve linear equations algebraically","",""
"INFO","How does voice recognition technology work","",""
"INFO","What is the SI unit of temperature?","",""
"INFO","What was the significance of the invention of the compass?","",""
"INFO","Who is Dutee Chand, and what are her records in sprinting?","",""
"MATHS","If a triangle is translated 4 units to the left, what are the new coordinates of its vertices?","",""
"INFO","What caused the sinking of the Titanic?","",""
"IMAGE","A towering waterfall plunges into a misty gorge.","",""
"MATHS","Apply the concept of exponential growth and decay","",""
"INFO","What is the difference between saving and investing?","",""
"INFO","What are the best ways to earn passive income?","",""
"INFO","What were the major scientific and technological achievements of ancient India?","",""
"INFO","What are the top-rated movies of the year according to critics?","",""
"INFO","Best selling video game franchise","",""
"IMAGE","Hyderabad's Charminar is an iconic monument with four grand arches and minarets.","",""
"IMAGE","A student participating in a volunteer trip to support a community in need.","",""
"INFO","What are the risks of investing in the stock market?","",""
"INFO","What is the process by which an organism's DNA is copied called?","",""
"MATHS","Explain the concept of graph minors.","",""
"IMAGE","A serene forest glade with a babbling brook and chirping birds.","",""
"MATHS","A man 6 feet tall walks at a rate of 3 ft/s toward a streetlight that is 16 feet above the ground. At what rate is the tip of his shadow moving?","",""
"INFO","Who were the Sikh Gurus, and what role did they play in shaping Sikhism?","",""
"MATHS","Calculate the determinant of the matrix: [[3, 1, 2], [2, 4, 3], [1, 0, 2]].","",""
"MATHS","Impulse function (Dirac delta function)","",""
"INFO","What were the causes and consequences of the Civil Rights Movement in the United States?","",""
"MATHS","In how many ways can a committee of 4 members be selected from a group of 10 people?","",""
"INFO","What is the best treatment for arthritis?","",""
"INFO","What are the best travel destinations for winter sports?","",""
"IMAGE","A slice of tender roast beef served with mashed potatoes, gravy, and roasted vegetables.","",""
"MATHS","The length of a rectangle is 5 units more than its width. If its perimeter is 50 units, find the dimensions of the rectangle.","",""
"IMAGE","A river winds its way through a lush, green valley.","",""
"IMAGE","Intricately embroidered shawls perfect for winter weddings.","",""
"INFO","How to make a homemade bird feeder?","",""
"IMAGE","Futurist architecture envisions bold, futuristic designs that reflect technological progress and innovation.","",""
"INFO","What impact did the invention of the telegraph have on long-distance communication?","",""
"MATHS","Divide 0.462 by 0.33.","",""
"IMAGE","Ornate maang tikkas and nose rings for bridal elegance.","",""
"IMAGE","Customized designer lehengas featuring intricate handwork.","",""
"INFO","How do you stay informed about upcoming events and activities in your community?","",""
"MATHS","If a bag contains 1/3 pound of candy and 2/3 pound of nuts, how much candy is there for every pound of nuts?","",""
"IMAGE","A steaming bowl of ramen noodles with slices of tender pork and a soft-boiled egg.","",""
"IMAGE","A serene beach at sunset, with waves gently lapping against the shore.","",""
"INFO","Which movies are trending on streaming platforms like Netflix and Amazon Prime?","",""
"INFO","Provide a UX design tip I can share","",""
"INFO","Essential drawing techniques for beginners","",""
"INFO","What is Sushil Kumar's Olympic medal tally in wrestling?","",""
"IMAGE","The Qutub Minar in Delhi is the tallest brick minaret in the world, showcasing Indo-Islamic architecture.","",""
"IMAGE","Deconstructivist architecture challenges traditional notions of form and structure, featuring fragmented, non-linear designs.","",""
"IMAGE","A loyal dog patiently waiting for its owner to come home.","",""
"IMAGE","Whispers of wisdom carried on the wings of time.","",""
"INFO","What is Virat Kohli's highest score in international cricket?","",""
"INFO","What are some hidden gems in the world of international television?","",""
"INFO","What are the best travel destinations for aurora hunting?","",""
"INFO","What are the benefits of physical education in schools?","",""
"MATHS","Green's function","",""
"INFO","What are the potential applications of 3D bioprinting in medicine and tissue engineering?","",""
"MATHS","Calculate the mean, median, and mode ","",""
"MATHS","Determine if the series converges or diverges: 1/2 + 1/4 + 1/8 + 1/16 + ...","",""
"MATHS","A rectangular field measures 10 meters by 20 meters. What is its perimeter?","",""
"INFO","How do smart cities use technology to improve infrastructure and services for residents?","",""
"INFO","How to save money on groceries?","",""
"INFO","What are the festivities of Eid-e-Milad, and how is it celebrated by Muslims?","",""
"INFO","Polish and improve the structure and tone of the newsletter","",""
"IMAGE","Postmodern architecture rejects modernist principles in favor of historical references and playful forms.","",""
"INFO","How do I promote a growth mindset in the classroom?","",""
"IMAGE","Fatehpur Sikri's Buland Darwaza is a towering triumphal arch built by Emperor Akbar.","",""
"INFO","What role did Buddhism play in shaping Indian society and culture?","",""
"IMAGE","A playful fairy dancing among the flowers.","",""
"INFO","What was the significance of the invention of the sewing machine?","",""
"INFO","What are the rituals associated with Raksha Bandhan?","",""
"IMAGE","A vast desert landscape stretches to the horizon.","",""
"IMAGE","A charming European village with cobblestone streets and ivy-covered cottages.","",""
"IMAGE","A futuristic cityscape adorned with neon lights and flying cars.","",""
"IMAGE","A graceful dolphin dances through the waves, its sleek body twisting and turning with effortless grace.","",""
"INFO","Who is Amit Shah?","",""
"INFO","What are some popular street foods found in South America?","",""
"IMAGE","Kaleidoscope of emotions in the human experience.","",""
"IMAGE","A student exploring their artistic talents through painting or drawing.","",""
"INFO","What are the primary parts of speech in English","",""
"INFO","What are the benefits of teaching mindfulness in schools?","",""
"IMAGE","Handcrafted Kolhapuri chappals for ethnic footwear.","",""
"MATHS","Is 990 divisible by 10 and 11?","",""
"IMAGE","A graduation ceremony with students in caps and gowns receiving their diplomas.","",""
"MATHS","Explain the difference between a subset and a proper subset.","",""
"IMAGE","A student using a planner to organize their schedule and deadlines.","",""
"IMAGE","Chic brocade clutches embellished with beads","",""
"IMAGE","A winding river cuts through a rugged canyon.","",""
"IMAGE","A couple going on a romantic horse-drawn carriage ride.","",""
"IMAGE","A cozy log cabin nestled in a snowy pine forest, smoke rising from its chimney.","",""
"INFO","What are some traditional dishes served during a German Oktoberfest celebration?","",""
"MATHS","Solve 15 ÷ 3.","",""
"INFO","How do you make authentic Thai green curry?","",""
"MATHS","If A = {a, b, c} and B = {b, c, d}, find A ∪ B.","",""
"INFO","How do languages influence each other","",""
"IMAGE","A woman attending a yoga retreat in the countryside.","",""
"MATHS","If the scores on a standardized test follow a normal distribution with a mean of 500 and a standard deviation of 100, what is the minimum score needed to be in the top 10% of test takers?","",""
"INFO","What are some in-demand skills or industries for job seekers right now","",""
"INFO","What are the best budget-friendly smartphones for photography?","",""
"INFO","What is Viswanathan Anand's highest FIDE rating in chess?","",""
"IMAGE","A field of wildflowers blooms in a riot of colors.","",""
"IMAGE","A family visiting an amusement park and riding roller coasters.","",""
"IMAGE","A field of vibrant wildflowers swaying in the gentle breeze.","",""
"INFO","What are some strategies for effective group study sessions?","",""
"IMAGE","A cozy bookstore with shelves lined with books of every genre.","",""
"MATHS","Find the probability ","",""
"INFO","What causes night sweats?","",""
"IMAGE","Fragments of identity scattered in the winds of change.","",""
"IMAGE","A bustling riverfront is a hive of activity, with boats, ferries, and water taxis crisscrossing the waterways.","",""
"MATHS","skew-symmetric matrices","",""
"MATHS","convert","",""
"INFO","How to make homemade lip balm?","",""
"IMAGE","A bustling port bustles with activity, ships coming and going as goods are loaded and unloaded.","",""
"INFO","How to build a backyard fire pit?","",""
"IMAGE","A sun-drenched savannah dotted with acacia trees and grazing wildlife.","",""
"MATHS","Define the span of a set of vectors.","",""
"IMAGE","A parallel universe with alternate realities.","",""
"IMAGE","A colorful parrot chattering away in its cage.","",""
"INFO","What measures are being taken to combat poverty and inequality?","",""
"MATHS","Solve quadratic equations by completing the square.","",""
"INFO","How does the respiratory system work","",""
"IMAGE","A platter of assorted sushi rolls filled with fresh fish, creamy avocado, and crunchy vegetables.","",""
"IMAGE","A cozy fireplace with crackling logs and flickering flames.","",""
"MATHS","+","",""
"MATHS","Convert 3/4 to a decimal.","",""
"MATHS","Compute the determinant of the matrix: [[-1, 2, -3], [0, 4, -1], [2, 1, 0]].","",""
"INFO","Which scientist is known for his contributions to the field of electricity and magnetism?","",""
"INFO","What are some classic movies that everyone should watch at least once?","",""
"MATHS","How many different three-digit numbers can be formed using the digits 1, 2, and 3?","",""
"INFO","What are the most beautiful waterfalls to visit?","",""
"IMAGE","A student participating in a book club to discuss literature and ideas.","",""
"INFO","What are the upcoming concerts or music festivals in your area?","",""
"MATHS","A circular pond has a circumference of 36 meters. Find its radius and area.","",""
"INFO","What role did Eli Whitney play in the invention of the cotton gin?","",""
"INFO","How does internet work","",""
"IMAGE","A regal peacock displaying its vibrant plumage.","",""
"INFO","What are the best parental control apps for managing kids' screen time?","",""
"MATHS","cosec","",""
"MATHS","If you draw a card from a standard deck of 52 cards, what is the probability of drawing a heart?","",""
"MATHS","find the  area","",""
"MATHS","assymptotic","",""
"MATHS","If you flip a fair coin, what is the probability of getting heads?","",""
"MATHS","Fourier domain filtering","",""
"MATHS","How many vertices does a square have?","",""
"IMAGE","A tranquil grove of cherry blossom trees in full bloom.","",""
"INFO","What's the general consensus on the latest superhero movie?","",""
"IMAGE","Scientist develops plant that glows when it needs water","",""
"MATHS","If A = {1, 2, 3, 4, 5} and B = {3, 4, 5, 6, 7}, find A - B (the set difference).","",""
"MATHS","Calculate the volume of a cylinder with diameter 10 cm and height 15 cm.","",""
"MATHS","rationalise","",""
"INFO","What are the best travel destinations for horseback riding?","",""
"MATHS","The ages of a group of people are 25, 28, 30, 32, 35, and 40. What is the mean age?","",""
"INFO","What are the traditions followed during Ganesh Chaturthi?","",""
"INFO","How are governments addressing the affordable housing crisis?","",""
"INFO","What are the privacy concerns surrounding smart speakers?","",""
"MATHS","solve systems of linear equations using matrices","",""
"MATHS","Final value theorem","",""
"INFO","What role do pathogens play in causing diseases","",""
"INFO","What caused the outbreak of the Korean War in the 1950s?","",""
"MATHS","Find the dimensions of the right circular cone of maximum volume that can be inscribed in a sphere of radius 10 cm.","",""
"MATHS","exclusive or","",""
"INFO","What is the name of the current President of","",""
"IMAGE","A majestic courthouse is a symbol of justice, its grand facade and imposing columns instilling respect.","",""
"INFO","Best pick-up lines","",""
"MATHS","continuity","",""
"MATHS","What are the roots of the equation ","",""
"IMAGE","A stack of fluffy pancakes topped with sliced bananas, maple syrup, and a dusting of powdered sugar.","",""
"INFO","Write CV bullet points with a quantifiable matrix for the role of","",""
"INFO","How is Eid-ul-Adha celebrated by the Muslim community in India?","",""
"IMAGE","A terrifying kraken rising from the depths to terrorize passing ships.","",""
"IMAGE","Mid-century modern architecture embraces clean lines and functional design, with an emphasis on indoor-outdoor living.","",""
"MATHS","The perimeter of a rectangle is 30 meters, and its length is 3 times its width. Find the dimensions of the rectangle.","",""
"INFO","Who proposed the concept of the double helix structure of DNA?","",""
"INFO","What are the implications of rising sea levels on coastal communities?","",""
"IMAGE","A cunning goblin lurking in the shadows.","",""
"IMAGE","A majestic lion prowls through the savanna, its golden mane glistening in the sunlight.","",""
"INFO","What is the main ingredient in a mozzarella cheese","",""
"INFO","What is the Internet of Things (IoT)","",""
"IMAGE","A lone tree stands silhouetted against a fiery sunset.","",""
"MATHS","Is 999999 divisible by 11, 13, and 17?","",""
"MATHS","A ladder 15 feet long is leaning against a wall. If the bottom of the ladder slides away from the wall at a rate of 2 ft/s, how fast is the top of the ladder sliding down the wall when it is 9 feet above the ground?","",""
"INFO","What were the causes and effects of the French Revolution?","",""
"INFO","Have any iconic video game franchises celebrated milestone anniversaries recently?","",""
"IMAGE","A playful otter splashes in a river, its whiskers twitching with excitement as it dives for fish.","",""
"INFO","What are the best ways to save for a down payment on a house?","",""
"IMAGE","Harmony between light and shadow.","",""
"MATHS","Determine if a given linear transformation is a rotation.","",""
"IMAGE","A man exploring a new city on foot.","",""
"INFO","How to create a DIY headboard?","",""
"INFO","What is the main ingredient in a margarita cocktail","",""
"INFO","Conduct a mock job interview for me","",""
"INFO","How to prevent hemorrhoids?","",""
"IMAGE","A floating metropolis above the clouds of a gas giant.","",""
"MATHS","Finite Element","",""
"IMAGE","Classic bandhgala suits tailored with precision.","",""
"INFO","Differences between different species of","",""
"MATHS","Find the particular solution of a differential equation ","",""
"INFO","How to invest in cryptocurrencies?","",""
"INFO","What was the significance of the invention of the internal combustion engine?","",""
"INFO","What factors led to the fall of the Berlin Wall in 1989?","",""
"IMAGE","A powerful djinn emerging from a swirling whirlwind of sand.","",""
"INFO","How do I treat","",""
"INFO","What are the tax implications of different investment strategies?","",""
"MATHS","Is 1080 divisible by 3?","",""
"INFO","What is the significance of the Indian National Congress in India's political history?","",""
"IMAGE","A serene sunset over a tranquil lake.","",""
"INFO","What is Saina Nehwal's current world ranking in badminton?","",""
"INFO","How are political ideologies evolving in [country]?","",""
"INFO","Can astrology provide guidance for major life decisions","",""
"INFO","What are the consequences of political polarization?","",""
"INFO","Who is Vasundhara Raje?","",""
"INFO","How do smart refrigerators work?","",""
"INFO","What is the difference between a creole and a pidgin","",""
"INFO","What is Shah Rukh Khan's latest movie?","",""
"IMAGE","A student studying late into the night, surrounded by textbooks and notes.","",""
"INFO","What impact did the invention of the airplane have on transportation?","",""
"INFO","How did the Industrial Revolution impact urbanization and labor practices?","",""
"IMAGE","A dramatic lightning storm over a rugged coastline.","",""
"IMAGE","A solitary wolf howling at the moon in the night sky.","",""
"INFO","What causes acid reflux?","",""
"IMAGE","Echoes of laughter in the corridors of memory.","",""
"INFO","What is the main function of the endocrine system?","",""
